University of Texas at San Antonio Schedule of Classes

These are the search criteria you submitted :
Term: Fall 2019
Subject:     CS 
Course Number: %%
Attributes: Any
Part of Term: Any
Time Blocks: Any
Campus: Any

FALL 2019 (202010)
Status,Subject,Course,Section,CRN,Title,Cred,Meeting Days,Times,Campus,Location,Instructor,Date,Weeks,Seats,Enrolled,Available,Final Exam,Fees,Notes,Comments
OPEN,CS,4911,004,25265,Independent Study,  1,TBA,TBA,Main Camp, ,Silvestro, Sam A.,08/26-12/13,17,5,1,4,To be determined by instructor ,   $10,GO, 
OPEN,CS,4913,001,10722,Independent Study,  3,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,002,10750,Independent Study,  3,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,003,10896,Independent Study,  3,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,004,10968,Independent Study,  3,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,005,10969,Independent Study,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,006,10970,Independent Study,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,1,9,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,007,10971,Independent Study,  3,TBA,TBA,Main Camp, ,Robinson, Mark A.,08/26-12/13,17,10,6,4,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,008,11013,Independent Study,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,009,11014,Independent Study,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,010,11016,Independent Study,  3,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,011,11017,Independent Study,  3,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,2,8,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,012,11293,Independent Study,  3,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,013,11294,Independent Study,  3,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,014,11295,Independent Study,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,015,11296,Independent Study,  3,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,016,11297,Independent Study,  3,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,017,10219,Independent Study,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,1,9,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,018,11855,Independent Study,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,1,9,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,019,11856,Independent Study,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,020,12011,Independent Study,  3,TBA,TBA,Main Camp, ,Silvestro, Sam A.,08/26-12/13,17,10,1,9,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,021,12357,Independent Study,  3,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,022,12012,Independent Study,  3,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,023,12013,Independent Study,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,024,12014,Independent Study,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,025,12968,Independent Study,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,GO, 
OPEN,CS,4913,026,13688,Independent Study,  3,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,1,4,To be determined by instructor ,   $30,GO, 
OPEN,CS,4933,001,10973,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,002,10606,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,003,11344,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,004,11345,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,005,11346,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,1,9,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,006,11347,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,007,11348,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,008,11349,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,009,11350,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Harrison, Keith B.,08/26-12/13,17,10,1,9,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,010,11351,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,011,11352,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,012,11353,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,013,11354,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,014,11355,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Harrison, Keith B.,08/26-12/13,17,5,2,3,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,015,11356,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,016,11357,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,017,10972,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,10,1,9,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,018,11875,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,019,11876,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,020,12193,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,021,12194,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,022,12284,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,023,12285,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,024,12287,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,025,12969,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Robinson, Mark A.,08/26-12/13,17,10,6,4,To be determined by instructor ,   $30,BO, 
OPEN,CS,4933,026,13689,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $30,BO, 
OPEN,CS,4973,002,24650,AT-DS: Deep Learning,  3,TR,7:30-8:45pm,Main Camp,FLN 2.02.06,Fernandez, Amanda S.,08/26-12/13,17,39,13,26,Thu  Dec 12  06:00 pm - 08:30 pm  ,   $30,O,Cross-listed with CS 6463.001. Credit can only be earned for one on these classes.
OPEN,CS,4973,003,24817,AT-DS:Data Science in Practice,  3,TR,6:00-7:15pm,Main Camp,NPB 1.226,Holladay, Kenneth L.,08/26-12/13,17,30,9,21,Tue  Dec 10  06:00 pm - 08:30 pm  ,   $30,O,Course is cross-listed with CS 6463. Credit cannot be earned for both CS 4973 and CS 6463.
OPEN,CS,4993,001,10795,Honors Research,  3,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,002,10974,Honors Research,  3,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,003,11432,Honors Research,  3,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,004,11433,Honors Research,  3,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,005,11434,Honors Research,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,006,11435,Honors Research,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,007,11436,Honors Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,008,11437,Honors Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,009,11438,Honors Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,010,11439,Honors Research,  3,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,011,11440,Honors Research,  3,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,012,11441,Honors Research,  3,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,013,11442,Honors Research,  3,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,014,11443,Honors Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,015,11444,Honors Research,  3,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,016,11445,Honors Research,  3,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,017,10419,Honors Research,  3,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,018,11857,Honors Research,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,019,11858,Honors Research,  3,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,020,12288,Honors Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,021,12289,Honors Research,  3,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,022,12290,Honors Research,  3,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,023,12293,Honors Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,024,12294,Honors Research,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,025,12970,Honors Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $30,AO, 
OPEN,CS,4993,026,13690,Honors Research,  3,TBA,TBA,Main Camp, ,Slavin, Rocky L.,08/26-12/13,17,5,0,5,To be determined by instructor ,   $30,AO, 
OPEN,CS,5123,001,20674,Software Testing and Quality,  3,MW,6:00-7:15pm,Main Camp,MH 3.03.20,Wang, Xiaoyin,08/26-12/13,17,15,12,3,Mon  Dec 09  06:00 pm - 08:30 pm  ,  $120,O,Cross-listed with CS 4723.001. Credit can only be earned for one on these classes.
OPEN,CS,5163,001,21812,Data Science,  3,TR,2:30-3:45pm,Main Camp,MH 3.04.08,Ruan, Jianhua,08/26-12/13,17,21,19,2,Thu  Dec 12  12:30 pm - 03:00 pm  ,  $120,O,Cross-listed with CS 3753.002. Credit can only be earned for one of these classes.
OPEN,CS,5263,001,23034,Bioinformatics,  3,S,11:00-1:45pm,Main Camp,NPB 1.238,Al Nasr, Kamal,08/26-12/13,17,12,11,1,Sat  Dec 07  09:45 am - 12:15 pm  ,  $120,O,Cross-listed with CS 4233.  Credit can only be earned for one of these classes.
CANCELED,CS,5343,001,23035,Secure Systems & Software,  3,TBA,TBA,Internet, ,Staff,08/26-12/13,17,0,0,0,To be determined by instructor ,  $120,O, 
OPEN,CS,5343,002,25117,Secure Systems & Software,  3,TBA,TBA,Internet, ,Rutherford, James R.,08/26-12/13,17,25,16,9,To be determined by instructor ,  $195,O, 
OPEN,CS,5463,002,24750,Topics: Embedded Systems,  3,S,2:00-4:45pm,Main Camp,NPB 4.140,Zhu, Dakai,08/26-12/13,17,10,1,9,Sat  Dec 07  12:30 pm - 03:00 pm  ,  $120,,Cross-listed with CS 4833.001. Credit can only be earned for one of these classes.
OPEN,CS,5513,001,24651,Computer Architecture,  3,S,2:00-4:45pm,Main Camp,NPB 1.202,Wang, Wei,08/26-12/13,17,50,34,16,Sat  Dec 07  12:30 pm - 03:00 pm  ,  $120,O, 
OPEN,CS,5523,001,17304,Operating Systems,  3,TR,6:00-7:15pm,Main Camp,MB 0.212,Xie, Mimi,08/26-12/13,17,50,36,14,Tue  Dec 10  06:00 pm - 08:30 pm  ,  $120,O, 
OPEN,CS,5573,001,22570,Cloud Computing,  3,TR,2:30-3:45pm,Main Camp,EB 2.04.22,Lama, Palden,08/26-12/13,17,19,18,1,Thu  Dec 12  12:30 pm - 03:00 pm  ,  $120,,Cross-listed with EE 5423.001.  Credit can only be earned for one of these classes.
OPEN,CS,5633,001,17305,Analysis of Algorithms,  3,TR,7:30-8:45pm,Main Camp,NPB 1.226,Gibson, Matthew R.,08/26-12/13,17,50,35,15,Thu  Dec 12  06:00 pm - 08:30 pm  ,  $120,O, 
OPEN,CS,5933,001,20632,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,A, 
OPEN,CS,5933,002,20633,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,A, 
OPEN,CS,5933,003,20634,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,A, 
CLOSED,CS,5933,004,20635,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,AC, 
OPEN,CS,5933,005,20636,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,5,1,4,To be determined by instructor ,  $120,A, 
OPEN,CS,5933,006,23892,Internship in Computer Science,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,5,0,5,To be determined by instructor ,  $120,A, 
OPEN,CS,5971,010,15786,Directed Research,  1,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,AO, 
OPEN,CS,5971,020,15710,Directed Research,  1,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,   $40,AO, 
OPEN,CS,5973,001,10900,Directed Research,  3,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,002,10975,Directed Research,  3,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,003,10976,Directed Research,  3,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,004,11491,Directed Research,  3,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,005,11492,Directed Research,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,006,11493,Directed Research,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,007,11494,Directed Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,008,11495,Directed Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,009,11496,Directed Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,010,11497,Directed Research,  3,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,011,11498,Directed Research,  3,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,012,11499,Directed Research,  3,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,013,11500,Directed Research,  3,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,014,11501,Directed Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,015,11502,Directed Research,  3,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,016,11503,Directed Research,  3,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,017,10350,Directed Research,  3,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,018,11777,Directed Research,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,019,11877,Directed Research,  3,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,020,12297,Directed Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,021,12298,Directed Research,  3,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,022,12299,Directed Research,  3,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,023,12358,Directed Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,024,12300,Directed Research,  3,TBA,TBA,Main Camp, ,Fernandez, Amanda S.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,AO, 
OPEN,CS,5973,025,12971,Directed Research,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,AO, 
CANCELED,CS,6243,001,24660,Machine Learning,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,40,0,40,To be determined by instructor ,  $120,O, 
OPEN,CS,6393,001,24652,Sec Topics: Blockchains,  3,MW,4:00-5:15pm,Main Camp,MH 3.04.12,Xu, Shouhuai,08/26-12/13,17,20,7,13,Wed  Dec 11  03:15 pm - 05:45 pm  ,  $120,O,Cross-listed with CS 4593.002. Credit can only be earned for one on these classes.
OPEN,CS,6463,001,23809,AT: Deep Learning,  3,TR,7:30-8:45pm,Main Camp,FLN 2.02.06,Fernandez, Amanda S.,08/26-12/13,17,21,13,8,Thu  Dec 12  06:00 pm - 08:30 pm  ,  $120,O,Cross-listed with CS 4973.002. Credit can only be earned for one of these classes.
OPEN,CS,6463,006,24818,AT: Data Science in Practice,  3,TR,6:00-7:15pm,Main Camp,NPB 1.226,Holladay, Kenneth L.,08/26-12/13,17,20,11,9,Tue  Dec 10  06:00 pm - 08:30 pm  ,  $120,O,Course is cross-listed with CS 4973. Credit cannot be earned for both CS 6463 and CS 4973.
CANCELED,CS,6543,001,24653,Networks,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,30,0,30,To be determined by instructor ,  $120,O, 
OPEN,CS,6953,001,10785,Independent Study,  3,TBA,TBA,Main Camp, ,Boppana, Rajendra V.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,002,10793,Independent Study,  3,TBA,TBA,Main Camp, ,Gibson, Matthew R.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,003,10830,Independent Study,  3,TBA,TBA,Main Camp, ,Al Nasr, Kamal,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,004,10832,Independent Study,  3,TBA,TBA,Main Camp, ,Jadliwala, Murtuza,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,005,10977,Independent Study,  3,TBA,TBA,Main Camp, ,Korkmaz, Turgay  .,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,006,10978,Independent Study,  3,TBA,TBA,Main Camp, ,Lama, Palden,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,007,10979,Independent Study,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,008,10998,Independent Study,  3,TBA,TBA,Main Camp, ,Xie, Mimi,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,009,11008,Independent Study,  3,TBA,TBA,Main Camp, ,Desai, Kevin,08/26-12/13,17,10,2,8,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,010,11009,Independent Study,  3,TBA,TBA,Main Camp, ,Niu, Jianwei,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,011,11010,Independent Study,  3,TBA,TBA,Main Camp, ,Quarles, John P.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,012,11333,Independent Study,  3,TBA,TBA,Main Camp, ,Ruan, Jianhua,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,013,11334,Independent Study,  3,TBA,TBA,Main Camp, ,Sandhu, Ravi,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,014,11335,Independent Study,  3,TBA,TBA,Main Camp, ,Gomez-Morales, Mauricio Alejandro,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,015,11336,Independent Study,  3,TBA,TBA,Main Camp, ,Tosun, Ali S.,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,016,11337,Independent Study,  3,TBA,TBA,Main Camp, ,Wang, Wei,08/26-12/13,17,10,2,8,To be determined by instructor ,  $120,GO, 
CLOSED,CS,6953,017,10168,Independent Study,  3,TBA,TBA,Main Camp, ,Wang, Xiaoyin,08/26-12/13,17,10,10,0,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,018,11774,Independent Study,  3,TBA,TBA,Main Camp, ,White, Gregory B.,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,019,11775,Independent Study,  3,TBA,TBA,Main Camp, ,Xu, Shouhuai,08/26-12/13,17,10,1,9,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,020,12023,Independent Study,  3,TBA,TBA,Main Camp, ,Staff,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,021,12042,Independent Study,  3,TBA,TBA,Main Camp, ,Zhang, Weining,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
OPEN,CS,6953,022,12305,Independent Study,  3,TBA,TBA,Main Camp, ,Zhu, Dakai,08/26-12/13,17,10,0,10,To be determined by instructor ,  $120,GO, 
